RamanShift,Processed
901.98,1260
903.69,1220
905.39,1318
907.1,1160
908.81,1179
910.52,1202
912.22,1245
913.93,1270
915.64,1185
917.34,1244
919.05,1114
920.75,1312
922.45,1131
924.16,1253
925.86,1114
927.56,1456
929.27,1247
930.97,1118
932.67,1230
934.37,1224
936.07,1341
937.77,1320
939.47,1219
941.16,1249
942.86,1307
944.56,1232
946.26,1281
947.95,1221
949.65,1299
951.34,1272
953.04,1243
954.73,1262
956.43,1247
958.12,1356
959.81,1259
961.51,1397
963.2,1317
964.89,1056
966.58,1342
968.27,1276
969.96,1414
971.65,1303
973.34,1343
975.03,1288
976.72,1450
978.41,1192
980.09,1442
981.78,1279
983.47,1307
985.15,1292
986.84,1265
988.52,1407
990.21,1451
991.89,1522
993.57,1145
995.26,1395
996.94,1501
998.62,1563
1000.3,1421
1001.98,1309
1003.66,1415
1005.34,1279
1007.02,1303
1008.7,1399
1010.38,1460
1012.06,1570
1013.73,1378
1015.41,1489
1017.09,1368
1018.76,1612
1020.44,1377
1022.11,1397
1023.79,1367
1025.46,1545
1027.14,1450
1028.81,1456
1030.48,1616
1032.16,1556
1033.83,1581
1035.5,1426
1037.17,1563
1038.84,1518
1040.51,1457
1042.18,1558
1043.85,1653
1045.52,1601
1047.18,1593
1048.85,1563
1050.52,1759
1052.18,1703
1053.85,1616
1055.51,1603
1057.18,1760
1058.84,1575
1060.51,1784
1062.17,1730
1063.83,1674
1065.5,1641
1067.16,1827
1068.82,1684
1070.48,1787
1072.14,1840
1073.8,1634
1075.46,1905
1077.12,1758
1078.78,1812
1080.44,1765
1082.1,1775
1083.75,1674
1085.41,1963
1087.07,1848
1088.72,1927
1090.38,1669
1092.03,1778
1093.69,1821
1095.34,1861
1096.99,2015
1098.65,1877
1100.3,1970
1101.95,1990
1103.6,1980
1105.25,1829
1106.9,2005
1108.55,1895
1110.2,2105
1111.85,2116
1113.5,1977
1115.15,1951
1116.8,2154
1118.45,2073
1120.09,1936
1121.74,1890
1123.38,1934
1125.03,1920
1126.67,2084
1128.32,1994
1129.96,1995
1131.61,2186
1133.25,2001
1134.89,2024
1136.53,1905
1138.17,1914
1139.82,1930
1141.46,2198
1143.1,2001
1144.74,1996
1146.37,2265
1148.01,2119
1149.65,2127
1151.29,2013
1152.93,2154
1154.56,2160
1156.2,2100
1157.84,2335
1159.47,2221
1161.11,2231
1162.74,2169
1164.37,2399
1166.01,2295
1167.64,2142
1169.27,2145
1170.9,2396
1172.54,2304
1174.17,2264
1175.8,2194
1177.43,2072
1179.06,2267
1180.69,2336
1182.31,2091
1183.94,2315
1185.57,2322
1187.2,2234
1188.82,2272
1190.45,2359
1192.08,2300
1193.7,2475
1195.33,2435
1196.95,2431
1198.58,2313
1200.2,2377
1201.82,2603
1203.44,2437
1205.07,2446
1206.69,2484
1208.31,2510
1209.93,2475
1211.55,2425
1213.17,2324
1214.79,2505
1216.41,2482
1218.03,2494
1219.64,2326
1221.26,2678
1222.88,2517
1224.49,2626
1226.11,2641
1227.73,2745
1229.34,2572
1230.96,2672
1232.57,2736
1234.18,2828
1235.8,2418
1237.41,2742
1239.02,2880
1240.63,2791
1242.24,2742
1243.85,2780
1245.47,2838
1247.08,2895
1248.68,2712
1250.29,2831
1251.9,2879
1253.51,2949
1255.12,2983
1256.72,2990
1258.33,3241
1259.94,2887
1261.54,3160
1263.15,2864
1264.75,3242
1266.36,3115
1267.96,2998
1269.56,3223
1271.17,3599
1272.77,3469
1274.37,3521
1275.97,3539
1277.57,3597
1279.17,3610
1280.77,3870
1282.37,3758
1283.97,3949
1285.57,3770
1287.17,4077
1288.77,4043
1290.36,4365
1291.96,4241
1293.56,4651
1295.15,4330
1296.75,4746
1298.34,4872
1299.94,4897
1301.53,5117
1303.12,5220
1304.72,5586
1306.31,5646
1307.9,5790
1309.49,6079
1311.09,6178
1312.68,6755
1314.27,6890
1315.86,7183
1317.45,7724
1319.03,7882
1320.62,8202
1322.21,8659
1323.8,9157
1325.38,9351
1326.97,9787
1328.56,10157
1330.14,10834
1331.73,11000
1333.31,11680
1334.9,12218
1336.48,12643
1338.06,13378
1339.65,13353
1341.23,13554
1342.81,13931
1344.39,14280
1345.97,14462
1347.55,14606
1349.13,14490
1350.71,13855
1352.29,13864
1353.87,13639
1355.45,13484
1357.03,13233
1358.6,12901
1360.18,12173
1361.76,11421
1363.33,11035
1364.91,10524
1366.48,10072
1368.06,9679
1369.63,9373
1371.21,8890
1372.78,8323
1374.35,8297
1375.92,7786
1377.5,7262
1379.07,7264
1380.64,6636
1382.21,6442
1383.78,6178
1385.35,5999
1386.92,5688
1388.48,5432
1390.05,5424
1391.62,5044
1393.19,5118
1394.75,4979
1396.32,4705
1397.89,4629
1399.45,4559
1401.02,4478
1402.58,4443
1404.14,4230
1405.71,4331
1407.27,4097
1408.83,4041
1410.4,4098
1411.96,4033
1413.52,4033
1415.08,3794
1416.64,3818
1418.2,3595
1419.76,3761
1421.32,3532
1422.88,3593
1424.43,3799
1425.99,3517
1427.55,3513
1429.11,3704
1430.66,3520
1432.22,3635
1433.77,3822
1435.33,3509
1436.88,3320
1438.44,3467
1439.99,3472
1441.54,3635
1443.09,3407
1444.65,3483
1446.2,3473
1447.75,3521
1449.3,3184
1450.85,3353
1452.4,3413
1453.95,3373
1455.5,3301
1457.05,3528
1458.59,3384
1460.14,3501
1461.69,3580
1463.23,3336
1464.78,3215
1466.33,3470
1467.87,3454
1469.42,3664
1470.96,3699
1472.5,3573
1474.05,3266
1475.59,3378
1477.13,3411
1478.68,3456
1480.22,3332
1481.76,3441
1483.3,3600
1484.84,3462
1486.38,3593
1487.92,3700
1489.46,3313
1491,3493
1492.53,3460
1494.07,3676
1495.61,3583
1497.14,3772
1498.68,3696
1500.22,3690
1501.75,3609
1503.29,3663
1504.82,3771
1506.35,3614
1507.89,3618
1509.42,3849
1510.95,3953
1512.49,3744
1514.02,3789
1515.55,3879
1517.08,3728
1518.61,4002
1520.14,3982
1521.67,4005
1523.2,3984
1524.73,3940
1526.25,4106
1527.78,4365
1529.31,4516
1530.83,4672
1532.36,4499
1533.89,4688
1535.41,4793
1536.94,4873
1538.46,4717
1539.98,5064
1541.51,5456
1543.03,5508
1544.55,5775
1546.08,5920
1547.6,6146
1549.12,6619
1550.64,6969
1552.16,7795
1553.68,8203
1555.2,8854
1556.72,9201
1558.24,9186
1559.76,9717
1561.27,9741
1562.79,10423
1564.31,10735
1565.82,11455
1567.34,11973
1568.85,12770
1570.37,13288
1571.88,13646
1573.4,14100
1574.91,14391
1576.42,15031
1577.94,15211
1579.45,15240
1580.96,15158
1582.47,15324
1583.98,15656
1585.49,14914
1587,14687
1588.51,13968
1590.02,14009
1591.53,13573
1593.04,12837
1594.55,12394
1596.06,12287
1597.56,11572
1599.07,11388
1600.57,10760
1602.08,10537
1603.59,10398
1605.09,9918
1606.59,9944
1608.1,9591
1609.6,9543
1611.1,9417
1612.61,9150
1614.11,9192
1615.61,9165
1617.11,8884
1618.61,8846
1620.11,8499
1621.61,8263
1623.11,7801
1624.61,7307
1626.11,7208
1627.61,6776
1629.1,6329
1630.6,6184
1632.1,5683
1633.59,5323
1635.09,5130
1636.59,4804
1638.08,4570
1639.57,4427
1641.07,4513
1642.56,4020
1644.06,4046
1645.55,3758
1647.04,3618
1648.53,3611
1650.02,3319
1651.51,3437
1653,3198
1654.49,3143
1655.98,3044
1657.47,3031
1658.96,2982
1660.45,2754
1661.94,2822
1663.43,2882
1664.91,2873
1666.4,2616
1667.88,2599
1669.37,2770
1670.86,2594
1672.34,2616
1673.82,2490
1675.31,2355
1676.79,2749
1678.27,2560
1679.76,2521
1681.24,2492
1682.72,2351
1684.2,2473
1685.68,2512
1687.16,2418
1688.64,2391
1690.12,2260
1691.6,2407
1693.08,2303
1694.56,2306
1696.04,2301
1697.51,2298
1698.99,2252
1700.47,2204
1701.94,2320
1703.42,2271
1704.89,2224
1706.37,2099
1707.84,2285
1709.31,2091
1710.79,2227
1712.26,2185
1713.73,2244
1715.2,2274
1716.68,2101
1718.15,2120
1719.62,2052
1721.09,2225
1722.56,2076
1724.03,2114
1725.5,2074
1726.96,2069
1728.43,2255
1729.9,2129
1731.37,2270
1732.83,2103
1734.3,2076
1735.77,2177
1737.23,2083
1738.7,1930
1740.16,2066
1741.62,2086
1743.09,2054
1744.55,2047
1746.01,1995
1747.48,1977
1748.94,2169
1750.4,2099
1751.86,2202
1753.32,1966
1754.78,2118
1756.24,2147
1757.7,2126
1759.16,2142
1760.62,2256
1762.08,2047
1763.53,2050
1764.99,2131
1766.45,1945
1767.9,2072
1769.36,2101
1770.81,2295
1772.27,2045
1773.72,1942
1775.18,2096
1776.63,2127
1778.08,2046
1779.54,1983
1780.99,2130
1782.44,2258
1783.89,1945
1785.34,2065
1786.79,2028
1788.24,2166
1789.69,2048
1791.14,1988
1792.59,2242
1794.04,1977
1795.49,1951
1796.94,2002
1798.38,2080
1799.83,2174
1801.28,2170
1802.72,2107
1804.17,2026
1805.61,1975
1807.06,2032
1808.5,2182
1809.94,2076
1811.39,2190
1812.83,2012
1814.27,2050
1815.71,1958
1817.16,2183
1818.6,1985
1820.04,2044
1821.48,2078
1822.92,2158
1824.36,2157
1825.79,2051
1827.23,2142
1828.67,2071
1830.11,2131
1831.55,2012
1832.98,2068
1834.42,2119
