x,y
0,0.00019027490637021091
1,0.00018342053239628266
2,0.00016994593566347873
3,0.00015693964136077963
4,0.00014440164948818513
5,0.00013233196004569547
6,0.00012073057303331046
7,0.00010959748845103018
8,9.893270629885483e-05
9,8.87362265767841e-05
10,7.900804928481786e-05
11,6.974817442295667e-05
12,6.095660199120041e-05
13,5.2633331989548654e-05
14,4.477836441800151e-05
15,3.739169927655919e-05
16,3.0473336565221593e-05
17,2.402327628398882e-05
18,1.8041518432860876e-05
19,1.2528063011837541e-05
20,7.482910020918817e-06
21,2.906059460104811e-06
22,-1.202488670604151e-06
23,-4.8427343712081775e-06
24,-8.014677641739849e-06
25,-3.1186706041628045e-05
26,-3.8276690282515756e-05
27,5.395653187471503e-06
28,9.837506866168213e-06
29,-1.686768206285311e-05
30,2.6508437353090874e-06
31,9.82035774742249e-06
32,1.5759041683922545e-06
33,4.7062853172533765e-06
34,1.4682142686041767e-05
35,-1.3380480365393524e-06
36,-2.9995006907345355e-06
37,-3.7469828353421653e-06
38,-1.1367210122305651e-05
39,2.0699551676183603e-05
40,2.8019295972689503e-05
41,1.0348226942419748e-05
42,1.2885053656646911e-05
43,7.799406963502513e-06
44,2.085270416099218e-05
45,1.4113188886209955e-05
46,-2.0075483853383995e-05
47,-2.0255329001241074e-05
48,-2.1054180452788785e-05
49,-1.5815507779554268e-06
50,1.0627455018113715e-05
51,3.831071277837078e-07
52,-1.4749988607661599e-05
53,-2.734127045907371e-05
54,-9.061321585960972e-06
55,6.5516589243839e-06
56,-3.7249941549271433e-06
57,1.6738182386854183e-05
58,2.9434592436105222e-06
59,-6.784609557364621e-06
60,-7.827134931316356e-06
61,-2.765720012012419e-06
62,-9.352261182298351e-06
63,-2.5260467669740565e-05
64,-3.510997538547369e-06
65,1.4966357037291596e-06
66,5.493550343339582e-06
67,-1.8628951142789338e-05
68,-4.090181809089381e-05
69,-2.88982365382864e-05
70,-1.3081974892160156e-05
71,5.471304137268757e-06
72,5.088003808667834e-07
73,-4.6544532360037814e-06
74,1.2655639354767459e-05
75,-8.235447757897916e-06
76,-5.989081263402745e-06
