x,y
511,-0.0009226735207931869
512,-0.0009665236936275048
513,-0.0010106856170739083
514,-0.0010101386323649892
515,-0.0010009537244844175
516,-0.0009783726292158807
517,-0.0009591759919273675
518,-0.0009450841974001042
519,-0.0009252206654180636
520,-0.0008961934182139058
521,-0.0008552633125011285
522,-0.0008053929911743282
523,-0.000757437779884611
524,-0.0007130184791960695
525,-0.0006284366849078922
526,-0.000553403911564618
527,-0.00048529612935484104
528,-0.00042339101325442356
529,-0.0003581322737546671
530,-0.0002990034106016157
531,-0.0002777846627986495
532,-0.0002418093846857924
533,-0.00017632887156271253
534,-9.951295830751641e-05
535,-4.507259413563398e-05
536,-2.457956730191914e-05
537,3.5197687957796465e-06
538,2.4661745469132103e-05
539,5.276067329611483e-05
540,6.964307017096928e-05
541,4.557430483384051e-05
542,1.792263656573553e-05
543,2.3239966097805256e-06
544,2.7118292930116165e-06
545,3.254903741218814e-05
546,7.105840722337019e-05
547,7.703599358171488e-05
548,3.867421626608505e-05
549,3.524357586143174e-05
550,4.4213368012854435e-05
551,2.588237686778895e-05
552,2.45744789499972e-05
553,2.7892759832573173e-05
554,5.266629361032121e-05
555,5.3706159926953235e-05
556,3.64437385537372e-05
557,5.072310410606868e-05
558,5.2089561415287965e-05
559,5.6326513809143875e-05
560,5.818890313165223e-05
561,2.571122259921048e-05
562,2.2672347247956412e-05
563,5.8294281419322166e-05
564,5.295536873452117e-05
565,2.077810839662346e-05
566,2.720044770709054e-05
567,1.6048265306366807e-05
568,1.604520811745567e-05
569,2.6069319286593472e-05
570,3.6413236394500754e-05
571,6.0149865708288106e-05
572,6.790091996867784e-05
573,6.498991642250426e-05
574,6.322435472655468e-05
575,6.425941512637752e-05
576,4.7057339215488686e-05
577,4.402529169485321e-05
578,3.888765056712156e-05
579,1.6755730283654375e-05
580,2.2611149987248767e-05
581,2.830924492047652e-05
582,3.6674433796400515e-05
583,3.21358977449848e-05
584,7.243592353763003e-06
585,2.4017167999782228e-05
586,1.6446019250660702e-05
587,-1.3264182461156834e-05
588,-3.9035218154080285e-06
589,-3.1876013538882707e-06
590,-2.470232608068766e-05
591,-4.195372032828043e-06
592,2.6971303515274013e-05
593,3.7032897157373586e-05
594,2.9537019729355843e-05
595,3.039915927884591e-05
596,2.951180972841222e-05
597,-4.4524829272282675e-06
598,-9.598277730410649e-06
599,8.494718540273563e-06
600,1.707433784490809e-05
601,1.2836356975456042e-05
602,-3.330761703979198e-06
603,-1.2970049381055187e-06
604,2.4017938016501045e-05
605,1.4727668851940707e-05
606,1.6340521907772854e-06
607,-2.651691607849331e-07
608,-1.40627385265791e-06
609,8.898226525680343e-06
610,-1.174546944439982e-05
611,-2.340249458677974e-05
612,-1.2674182182108708e-05
613,-1.696537682703401e-05
614,-4.384949101134036e-05
615,-2.4353906957398603e-05
616,-1.0913563605149755e-05
617,-1.349654957554964e-05
618,1.7443911672703654e-05
